Title,Image,Description,Category,Ingredients,Instructions,Time to cook,Servings,Energy,Protein,Carbohydrates,Fat
Örtomelett med tomat,https://images.arla.com/recordid/EB3F34EB-3EF1-4A06-AC4E55A1B4A60EA2/ortomelett-med-tomat.jpg?width=375&height=265&mode=crop&format=jpg,"Omelett med örter, tomater och rejält med riven ost. En omelett är perfekt till lunch, brunch eller att servera till en härligt lyxig frukost.","Brunch, Frukost, Huvudrätt, Kvällsmat, Lunch, Middag","Tomater: 2 | Arla Köket® Smör- & rapsolja: 2 msk | Hackade, färska blandade örter,t ex dragon, persilja och timjan: 1 dl | Finriven ost,  t ex Wästgöta Kloster® Svart: 2 dl | Ägg: 6 | Arla Ko® Standardmjölk: 2 msk | Salt: 1 tsk | Vitpeppar: 2 krm","Halvera tomaterna och gröp ur inkråmet. Skär tomatköttet i långa strimlor som båtar., Vispa ihop omelettsmeten. Häll hälften av smeten i en varm stekpanna med smör-&rapsolja., Stek på medelvärme 2-3 min, rör försiktigt i smeten några gånger. Strö över hälften av örter, ost och tomat och stek ytterligare någon min., Stek en omelett till på samma sätt.",20 min,4,500 kcal,32 g,4 g,39 g
Chokladkaka,"https://images.arla.com/recordid/6C9111DD-B730-494A-A7FCF44B20E1A764/chokladkaka.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg","Denna maffiga chokladkaka är verkligen en chokladälskares dröm! Ljuvligt krämig blir den, och vacker med den glansiga ganachen. Baka gärna chokladkakan dagen innan den ska serveras för bästa resultat. Servera med fluffig grädde och färska bär.","Dessert, Efterrätt","Svenskt Smör från Arla®: 200 g | Mörk choklad, hackad: 200 g | Ägg: 4 | Strösocker: 2 dl | Vetemjöl: 2 dl | Salt: 1 krm | Svenskt Smör från Arla®: 50 g | Arla Ko® Vispgrädde: 1 dl | Mörk choklad, hackad: 150 g | Arla Ko® Vispgrädde: 2 dl | Blandade färska bär: ","Sätt ugnen på 200° eller 180° varmluft., Lägg bakplåtspapper i botten på en form med löstagbar kant, ca 22 cm i diameter och smörj kanterna., Smält smöret och ta från värmen. Lägg i chokladen och rör tills den smält., Vispa ägg och socker pösigt., Sikta ner mjölet och tillsätt saltet i äggsmeten. Vänd ner med en slickepott., Tillsätt chokladsmöret och blanda försiktigt till en slät smet. Häll smeten i formen och grädda i mitten av ugnen ca 17 min., Låt kakan kallna i formen och sedan stå 1 tim i kylen, innan ganachen breds på.",45 min,4,455 kcal,5 g,36 g,32 g
Pasta med curry och äpple,https://images.arla.com/recordid/4C5D98C3-B6FC-422D-B6191713041A1B56/pasta-med-curry-och-apple.jpeg?width=375&height=265&mode=crop&format=jpeg,"Enkel pasta till vardags med den klassiska smakkombinationen äpple och curry. Använder du vanlig, torkad pasta behövs inte lika mycket.","Huvudrätt, Kvällsmat, Lunch, Middag",Tagliatelle: 360 g | Bacon: 140 g | Purjolök: 1 | Äpple: 1 | Curry: ½ tsk | Svenskt Smör från Arla®:  | Arla Köket® Lätt crème fraiche: 2 dl,"Koka pastan enligt anvisning på förpackningen., Strimla baconet och knaperstek det i en stekpanna. Låt det rinna av på hushållspapper., Grovstrimla purjolöken, kärna ur och tärna äpplet. Fräs äpple, purjolök och curry i smör någon min., Rör ner crème fraiche i pastan. Strö över bacon, purjolök och äpple.",20 min,4,,,,
Kyckling i airfryer,"https://images.arla.com/recordid/85D78138-0E7A-40D4-88A2356A32BF06B0/kyckling-i-airfryer.jpg?width=375&height=265&mode=crop&crop=(235,0,-43,0)&format=jpg","Kycklinglårfilé marinerad med five spice, soja, honung och vitlök. När den tillagas i airfryer slipper du stekos, och du får en riktigt saftig och smakrik kyckling. Servera med en krämig gochujang-crème fraiche, ris och salladslök. Gott till vardag och till fest!","Huvudrätt, Lunch, Middag","Kycklinglårfilé: 450 g | Japansk soja: 2 msk | Five spice-krydda: 1 msk | Flytande honung: 2 msk | Vitlöksklyftor, skalad och finhackad: 3 | Arla Köket® Crème fraiche: 2 dl | Gochujang: 1 msk | Jasminris: 4 port | Salladslök: 1 knippe | Rostade sesamfrön: 4 msk","Lägg kycklingen i en skål. Blanda med soja, kryddor, honung och vitlök. Ställ kallt ca 30 min., Rör ihop såsen och ställ den kallt., Fördela kycklingen i korgen till din airfryer., Tillaga på 200° i ca 20 min. Innertemperaturen ska vara minst 72° när den är klar., Koka riset enligt anvisning på förpackningen. Strimla salladslöken., Skiva upp kycklingen och servera den med ris, sås och toppa med salladslök och sesamfrön.",1 tim,4,614 kcal,31 g,62 g,26 g
Milkshake med körsbär och mandel,https://images.arla.com/recordid/03BD2707-7CC2-4FC2-BA9005D31F32BAC0/korsbars--och-mandelmilkshake.jpg?width=375&height=265&mode=crop&format=jpg,En lyxig milkshake med smak av färska körsbär och mandelmassa. När körsbären inte är i säsong går det att köpa frysta i affären.,"Efterrätt, Mellanmål","Urkärnade körsbär, färska eller frysta: 20 | Msk finriven mandelmassa: 2 | Vaniljglass: 2 dl | Arla Ko® Standardmjölk: 3 dl","Mixa körsbären med mandelmassan., Tillsätt övriga ingredienser och mixa till en krämig milkshake. Häll upp i stora glas.",15 min,4,140 kcal,4 g,18 g,5 g
Lassi med ingefära,"https://images.arla.com/recordid/68F645E3-B55E-4CB3-98F5D76E86C140F5/lassi-med-ingefara.jpg?width=375&height=265&mode=crop&crop=(211,0,-67,0)&format=jpg",Frisk och lite salt yoghurtdrink. Festligt och alkoholfritt före eller till maten.,"Förrätt, Frukost, Mellanmål",Arla Ko® Mild lättyoghurt: 2½ dl | Arla Ko® Standardmjölk: 1½ dl | Isbitar: 4 | Salt: 1 krm | Flytande honung: 1 tsk | Riven färsk ingefära: 1 tsk,"Mixa yoghurt och mjölk med is, salt, honung och ingefära., Häll upp i glas och servera.",,4,100 kcal,7 g,13 g,2 g
Bigos,"https://images.arla.com/recordid/09ECE0BC-EDBA-4473-8A004EC5E8D7A846/bigos.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg","Denna mustiga köttgryta är mycket populär i Polen. Bigos tillagas med surkål, kryddig korv och fläskkött. Laga den med fördel dagen innan den ska avnjutas så smakerna sätter sig. Bigos serveras rykande het med smetana och kokt potatis eller grovt bröd.","Förrätt, Huvudrätt, Matlåda","Vitkål: 200 g | Vatten: 6 dl | Torkad svamp, t ex trattkantareller eller Karljohan: 30 g | Skinkschnitzel: 300 g | Rökt sidfläsk: 250 g | Gula lökar: 2 | Svenskt Smör från Arla®: 25 g | Surkål: 200 g | Rödvin: 2 dl | Tomatpuré: 1 dl | Köttbuljong: 2 tärningar | Lagerblad: 2 | Enbär: 1 tsk | Svartpepparkorn: 1 tsk | Hela kryddnejlikor: 3 | Bratwurst, gärna Thüringer: 250 g | Potatis: 900 g | Arla Köket® Smetana: 2 dl | Färsk persilja: ","Strimla vitkålen. Lägg i en stekgryta. Häll på vatten och koka upp. Smula ner svampen. Sjud 30 min., Skär köttet i mindre bitar. Tärna fläsket. Skala och hacka löken., Hetta upp smör och bryn kött och fläsk i omgångar. Fräs löken mjuk., Skölj surkålen och låt den rinna av. Lägg ner allt i grytan., Rör ner vin, tomatpuré, smulad buljong och lagerblad. Mortla enbär, svartpeppar och kryddnejlika . Rör ner i grytan och sjud under lock ca 45 min. Späd ev med vatten om det behövs., Koka potatisen., Skär korven i bitar och låt den sjuda med i grytan ca 15 min. Smaka av., Servera bigos med kokt potatis, smetana och persilja.",1 tim 30 min,4,,,,
Polkagriskakor,https://images.arla.com/recordid/87AE9CDE-925D-44BE-809DFD382F79F8EE/polkagriskakor.jpeg?width=375&height=265&mode=crop&format=jpeg,Piffa till mördegskakorna med krossade karameller! Imponera med vanisnnigt goda polkagriskakor.,"Efterrätt, Fika",Fint krossade polkagrisar: ½ dl | Vetemjöl: 2 dl | Strösocker: 2 msk | Svenskt Smör från Arla®: 100 g | Äggula: 1 | Grovt krossade polkagrisar: ½ dl,"Blanda polkagriskrosset, mjöl och socker. FinfördeLåt vila i kyl ca 30 min.la smöret i blandningen. Tillsätt äggulan och arbeta ihop till en deg., Sätt ugnen på 200° eller 180° varmluft., Kavla ut degen tunt på mjölad bänk. Ta ut stjärnor och hjärtan med pepparkaksmått. Lägg dem på en plåt med bakplåtspapper., Grädda i mitten av ugnen 6–8 min. Strö genast över garneringen medan kakorna fortfarande är varma. Låt kakorna kallna.",1 tim,4,60 kcal,1 g,7 g,4 g
Fetaost- och spenatpaj,"https://images.arla.com/recordid/74CE8AEC-0AC9-46FF-A9565A5857B12BDA/fetaost-och-spenatpaj.jpg?width=375&height=265&mode=crop&crop=(0,302,0,-55)&format=jpg","En omtyckt paj som passar året runt. Fetaostpajen är fylld med färsk spenat som steks med vitlök. Riven cheddar och chili flakes ger extra smak till fetaostpajen. Om det mot förmodan blir något över, blir den en perfekt lunch nästa dag.","Buffé, Huvudrätt, Lunch","Vetemjöl: 3 dl | Svenskt Smör från Arla® Ekologiskt: 150 g | Salt: 1 krm | Vatten: 1 msk | Vitlöksklyftor: 2 | Svenskt Smör från Arla® Ekologiskt: 1 msk | Bladspenat, gärna färsk: 250 g | Arla Ko® Eko Standardmjölk: 3 dl | Ägg: 3 | Chili flakes: ½ tsk | Salt: ½ tsk | Kvibille® Riven ost cheddar: 150 g | Apetina® Vitost 20% eller fetaost: 150 g | Cocktailtomater: 250 g | Färsk basilika: 1 knippe | Pinjenötter, rostade: 50 g","Hacka ihop mjöl, smör och salt till en grynig massa, gärna i en matberedare. Tillsätt vattnet och arbeta snabbt ihop till en deg., Tryck ut degen i en pajform, ca 22 cm i diameter. Låt stå i kyl ca 30 min., Sätt ugnen på 200° eller 180°  varmluft., Nagga och förgrädda pajskalet mitt i ugnen ca 10 min., Skala och finhacka vitlöken. Hetta upp smör i en stekpanna. Fräs vitlök och spenat tills vätskan från spenaten kokat in., Vispa ihop mjölk, ägg, chili flakes, lite salt och cheddar. Vänd ner spenaten. Häll blandningen i pajskalet och strö över smulat vitost eller fetaost., Grädda pajen i nedre delen av ugnen ca 30 min., Servera med tomater, basilika och rostade pinjenötter.",1 tim 10 min,4,,,,
Vegetariska tacos,https://images.arla.com/recordid/7F8FFF1F-E9B0-425F-A64988FD26C57E29/vegetariska-tacos.jpg?width=375&height=265&mode=crop&format=jpg,"Vegetarisk röra med gräddfil, hela svarta bönor och tärnad vitost. En enkel och snabblagad rätt som serveras med mjuka eller hårda tacoskal.","Huvudrätt, Lunch, Middag","Apetina® Vitost 20%: 150 g | Kokta svarta bönor: 400 g | Färsk röd chili: ½ | Röd paprika: 1 | Salladslökar: 2 | Tacosås: 4 msk | Färsk koriander, hackad: ½ kruka | Salt: ½ tsk | Arla Ko® Gräddfil: 2 dl | Isbergssallad:  | Tacoskal: 8","Tärna osten. Skölj bönorna i kallt vatten., Kärna ur chili och paprika. Hacka chilin och strimla paprika och salladslök., Vänd ner ost, bönor, chili, paprika och lök. Blanda ner tacosås, koriander och salt., Servera bönröran med gräddfil och sallad i varma tacoskal.",15 min,4,565 kcal,19 g,46 g,31 g
Plommonfyllda rullader,https://images.arla.com/recordid/7E2DF918-E75E-46FE-A2A021D9ECBC9C93/plommonfyllda-rullader.jpeg?width=375&height=265&mode=crop&format=jpeg,Söndagsmiddag med frisk syra av färska plommon och röda bär.,"Huvudrätt, Lunch, Middag",Skinkschnitzel: 600 g | Salt: 1 tsk | Svartpeppar: 1 krm | Mogna plommon: 6 | Svenskt Smör från Arla® Ekologiskt: 1 msk | Hackad färsk persilja: 2 msk | Röda vinbär: ½ dl | Arla Köket® Matlagningsgrädde: 2 dl | Vinbärsgelé: ½ dl | Kinesisk soja: 1 tsk | Dijonsenap: 1 tsk | Kalvfond: 1 msk,"Banka ut köttet till ca ½ cm tunna skivor. Salta och peppra., Dela, kärna ur och lägg plommonen på köttet. Rulla ihop till rullader och fäst med tandpetare., Bryn dem runt om i smör i en stekpanna. Tillsätt grädde, gelé, soja, senap och fond. Låt rulladerna koka under lock ca 10 min., Strö över persilja och vinbär. Servera med kokt potatis och vinbärsgelé.",30 min,4,530 kcal,35 g,62 g,14 g
Grillspett med chorizo och salsayoghurt,https://images.arla.com/recordid/716DA8C2-2866-4975-A84060EC5168185F/grillspett-med-chorizo-och-salsayoghurt.jpg?width=375&height=265&mode=crop&format=jpg,Enkla grillspett med supergoda tillbehör!,"Huvudrätt, Lunch, Middag",Fläskfilé: 400 g | Arla Köket® Smör- & rapsolja: 1 msk | Kinesisk soja: 1 msk | Chorizo: 100 g | Arla Köket® Turkisk yoghurt 200 g: 2 dl | Tacosås hot: ½ dl | Pressad vitlöksklyfta: 1 | Salt: 2 krm | Kvibille® Riven ost cheddar: 2 dl | Kokta blandade bönor: 1 burk | Paprika: 1 | Krispsallad: 1 kruka | Majschips: 100 g,"Skär köttet i 1 ½ cm tjocka skivor. Blanda det med smör-&rapsolja och soja i en skål. Skär korven i 1 cm-tjocka skivor., Rör ihop salsayoghurten och förbered tillbehören., Häll av och skölj bönorna. Kärna ur och skär paprikan i bitar. Dela salladen i bitar., Trä upp kött och korv på grillspett eller blötlagda träspett. Grilla runt om över glöd ca 6 min., Servera grillspetten tillsammans med såsen och tillbehören.",40 min,4,520 kcal,38 g,37 g,24 g
Kålsoppa,"https://images.arla.com/recordid/8BA77168-937E-46FF-9414D84260F7A97E/kalsoppa.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg","Denna mättande och smakrika soppa innehåller många underbara smaker - grönkål, svamp och Ädel Creme. Den blir härligt krämig med grädde. Servera den antingen som förrätt, då räcker detta recept till 6 personer, eller som varmrätt, då gärna med nybakat bröd.","Förrätt, Huvudrätt, Middag, Varmrätt",Potatis: 500 g | Gul lök: 1 | Vitlöksklyftor: 2 | Arla Köket® Smör- & rapsolja: 3 msk | Grönsaksbuljong: 9 dl | Arla Ko® Eko Vispgrädde: 3 dl | Färsk grönkål: 200 g | Kvibille® Ädel Creme: 170 g | Kantareller: 150 g | Salt och svartpeppar: ,"Skala och skär potatis i bitar. Skala och hacka lök och vitlök. Fräs i 1 msk smör-&rapsolja i en stor kastrull ca 3 min., Tillsätt grönsaksbuljong och grädde. Låt koka ca 10  min, eller tills potatisen är mjuk., Repa under tiden grönkålen. Tillsätt grönkål och ädel creme till soppan. Låt koka ytterligare 4-5 min., Mixa  soppan lite slarvigt med stavmixer. Smaka av med salt och nymalen svartpeppar., Rensa svampen och stek den i en stekpanna med resterande smör-&rapsolja. Smaka av med salt och svartpeppar., Toppa kålsoppan med nystekt svamp.",30 min,4,447 kcal,13 g,26 g,31 g
Knäckig kladdkaka,https://images.arla.com/recordid/8E7D89BD-34EA-47FE-B2DC9F1CF53F9ECD/knackig-kladdkaka.jpg?width=375&height=265&mode=crop&format=jpg,"En smarrig kladdkaka med ett ljuvligt täcke av knäck som vann Kladdkakeracet 2012. Otroligt god, gärna med en klick grädde eller vaniljglass.","Dessert, Efterrätt, Fika",Svenskt Smör från Arla®: 50 g | Ägg: 1 | Strösocker: 1½ dl | Vaniljsocker: 1 tsk | Salt: 1 krm | Kakao: 2 msk | Vetemjöl: 1 dl | Sirap: ½ dl | Svenskt Smör från Arla®: 100 g | Strösocker: 1 dl | Sirap: ½ dl | Arla Ko® Vispgrädde: ½ dl | Havregryn: 1 dl | Vetemjöl: 1 dl | Bakpulver: ½ tsk | Vaniljsocker: 1 tsk | Arla Ko® Vispgrädde: ,"Sätt på ugnen på 175° eller 150° varmluft., Smält smöret som ska användas till chokladsmeten i en kastrull. Smörj och bröa en rund form med löstagbar kant, ca 24 cm i diameter., Vispa ägg och socker pösigt i en bunke. Blanda ner övriga ingredienserna till chokladsmeten. Häll smeten i formen., Smält smöret till knäcksmeten i en kastrull och rör ner övriga ingredienser. 
Bred knäcksmeten på chokladsmeten. Grädda i mitten av ugnen ca 35 min. Låt svalna., Servera vispad grädde eller vaniljglass till.",50 min,4,410 kcal,3 g,54 g,19 g
Knödel,https://images.arla.com/recordid/FE4F72C4-5539-469C-9E7DF557986D7311/knodel.jpg?width=375&height=265&mode=crop&format=jpg,"Knödel är en typ av dumpling som är vanligt i centraleuropa. Det finns flera olika varianter av knödel, beroende på i vilket land du befinner dig. Detta recept är på semmelknödel och den tillagas på bröd, ägg, mjöl och kryddor. Denna knödel kokas i buljong - gott att äta som en soppa. Knödel passar även mycket bra till surkål och korv. Detta är ett perfekt sätt att ta tillvara på bröd som börjar bli torrt.",,"Gul lök: 1 | Svenskt Smör från Arla®: 75 g | Vitt lantbröd, ca 500 g: 1 | Färsk persilja: 1 kruka | Ägg: 2 | Vetemjöl: ½ dl | Salt: 1 tsk | Arla Ko® Standardmjölk: 1 dl | Vatten: 2 liter | Buljong: 4 tärningar","Skala och finhacka löken. Fräs den mjuk i smöret utan att den tar färg. Låt svalna., Skär brödet i små tärningar. Finhacka persiljan., Blanda bröd och persilja med den smörstekta löken. Var noga så allt smör kommer med. Tillsätt ägg, mjöl och salt., Späd med mjölk tills du har en fast deg. Ta inte för mycket mjölk, då kan knödeln falla sönder under tillagning., Koka upp vatten och buljong i en rymlig kastrull., Gör en liten boll och provkoka så den håller ihop. Om inte tillsätter du lite mer mjöl., Blöt händerna och forma degen till 12 bollar. Låt koka tills de flyter upp till ytan, ca 8 min., Lyft upp knödeln med hålslev och låt rinna av på galler eller på en ren kökshandduk., Servera knödeln antingen med buljongen, eller tillsammans med surkål och korv.",40 min,4,,,,
Panna med vitkål och champinjoner,https://images.arla.com/recordid/55A2B004-5E9F-425B-A8411423749DF976/panna-med-vitkal-och-champinjoner.jpg?width=375&height=265&mode=crop&format=jpg,Vitkål är otroligt gott och nyttigt. Här i en snabblagad panna tillsammans med champinjoner och härlig smak av svamp.,"Huvudrätt, Middag",Champinjoner: 300 g | Vitkål: 250 g | Svenskt Smör från Arla®: 2 msk | Kelda® Matlagningsgrädde: 2 dl | Svampfond: ¾ msk | Majsstärkelse: ½ msk | Hackad färsk persilja: ½ dl,"Skiva champinjonerna och strimla vitkålen. Fräs dem mjuka i smör i en panna., Tillsätt grädden, fond och majsstärkelse. Rör om och låt koka ca 2 min. Strö över persilja.",,4,175 kcal,4 g,8 g,14 g
Tigerkaka,https://images.arla.com/recordid/55CDB881-65D2-460C-BFF2DE1ADC45BB7D/tigerkaka.jpg?width=375&height=265&mode=crop&format=jpg,Tigerkaka är odödlig klassiker som dessutom är rolig att göra. Vem kan motstå momentet att blanda ihop den vita och bruna smeten till ett snyggt mönster?!,Fika,Arla Köket® lätt smör: 75 g | Arla Ko® Standardmjölk: 1 dl | Ägg: 2 | Strösocker: 2 dl | Vetemjöl: 3 dl | Vaniljsocker: 2 tsk | Bakpulver: 1½ tsk | Kakao: 2 msk,"Sätt ugnen på 175° eller 160° varmluft. Smörj och bröa en form som rymmer ca 1,5 liter., Smält smöret, häll i mjölken och låt det svalna., Vispa ägg och socker ljust och pösigt, gärna med elvisp., Blanda mjöl, vaniljsocker och bakpulvret. Sikta ner detta i smeten. Tillsätt mjölkblandningen. Rör snabbt ihop till en jämn smet., Häll hälften av smeten i en den bröade formen. Blanda ner kakao i den resterande smeten i bunken., Ringla ner kakaosmeten i formen., Grädda tigerkakan i nedre delen av ugnen i 35-40 min. Känn efter med en trästicka så kakan är genomgräddad.",45 min,4,230 kcal,4 g,31 g,10 g
Potatisgratäng med aubergine,"https://images.arla.com/recordid/DB49B3F5-C0D7-489E-9545379A4855CD19/potatisgratang-med-aubergine.jpg?width=375&height=265&mode=crop&crop=(115,0,-163,0)&format=jpg",En krämig potatisgratäng varvad med stekt aubergine och grädde smaksatt med rosmarin och lagrad ost. Denna potatisgratäng är utmärkt att servera till lamm eller kyckling.,"Huvudrätt, Lunch, Middag",Aubergine: 1 | Arla Köket® Smör- & rapsolja:  | Salt: 1 tsk | Grovhackad färsk rosmarin: 1 msk | Mjölig potatis: 1 kg | Arla Ko® Dackeost eller cheddar: 150 g | Arla Ko® Vispgrädde: 3 dl | Arla Ko® Standardmjölk: 1 dl | Vitlöksklyftor: 2 | Salt: 1 tsk | Nymalen svartpeppar: 1 krm,"Sätt ugnen på 200° eller 180° varmluft., Skär aubergine i tunna skivor. Lägg dem på en smord ugnsplåt. Ringla över smör-&rapsolja, salt och rosmarin. Tillaga mitt i ugnen ca 15 min., Skala och skiva potatisen., Grovriv osten och lägg i en skål. Vispa ner grädde, mjölk, finriven vitlök, salt och peppar., Varva potatis, aubergine och gräddblandningen i en smord ugnsform, ca 20x30 cm., Grädda i nedre delen av ugnen ca 45 min. Täck gratängen om den får för mycket färg på slutet av gräddningen.",1 tim,4,663 kcal,16 g,40 g,47 g
Pastasallad med cottage cheese,https://images.arla.com/recordid/CC8795FF-28F7-481B-A77AF71D1BD44EFB/pastasallad-med-cottage-cheese.jpg?width=375&height=265&mode=crop&format=jpg,"Denna pastasallad blir extra mättande och god med cottage cheese. Blanda pastan med cottage cheese när den är al dente. Lägg upp på ett vackert salladsfat och toppa med härliga grönsaker, örter, oliver och frön. Denna pastasallad passar utmärkt att ställa fram på buffén, eller varför inte packa ner i picknickkorgen!","Buffé, Huvudrätt, Lunch, Middag","KESO® Cottage cheese crushed naturell: 250 g | Pasta, t ex farfalle: 300 g | Cocktailtomater: 250 g | Salladslökar: 2 | Avokado: 1 | Färska örter, t ex oregano, basilka, gräslök: 2 dl | Kallpressad olivolja: 2 msk | Salt och svartpeppar:  | Blandad grönsallad: 130 g | Rostade pumpakärnor: 2 dl | Urkärnade svarta oliver: 2 dl","Koka pastan al dente enligt anvisning på förpackningen., Blanda pastan med cottage cheese. Smaka av med salt och nymalen svartpeppar., Skär tomaterna i halvor. Strimla salladslöken. Halvera, gröp ut och tärna avokadon., Lägg blandad grönsallad på ett stort fat, ringla över olivolja. Toppa med pasta och strö över tomater, salladslök,  avokado, örter, pumpafrön och oliver.",30 min,4,490 kcal,21 g,59 g,17 g
Smält rabarber med vit choklad och kanelgrädde,https://images.arla.com/recordid/3F3C2E9B-D230-49A2-AD5615B4176D87A7/smalt-rabarber-med-vit-choklad-och-kanelgradde.jpg?width=375&height=265&mode=crop&format=jpg,Syrlig rabarber och len choklad som bokstavligen smälter i munnen. Bjud efterrätten med grädde som smaksatts med söt kanel.,Efterrätt,Rabarber: 500 g | Strösocker: ¾ dl | Vit choklad: 100 g | Pinjenötter: ½ dl | Arla Ko® Vispgrädde: 2 dl | Malen kanel: 2 krm | Florsocker: 1 tsk,"Sätt ugnen på 225° eller 200° varmluft., Skär rabarbern i 10 cm långa bitar. Lägg dem på ett ugnssäkert fat och strö över sockret., Täck med aluminiumfolie. Smält rabarbern i mitten av ugnen 15–20 min., Rosta pinjenötterna i torr varm stekpanna., Riv chokladen och strö den och pinjeknötterna över rabarbern., Höj ugnstemperaturen till 275° eller 250° varmluft och gratinera i övre delen av ugnen några min., Servera med vispad grädde smaksatt med kanel och florsocker.",30 min,4,490 kcal,5 g,37 g,36 g
Fransk vitlöksfisk,https://images.arla.com/recordid/7A6CD998-D3DD-47B9-878BE9FBFBE66856/fransk-vitloksfisk.jpg?width=375&height=265&mode=crop&format=jpg,Perfekt för dig som enkelt vill skapa franska smaker och dofter hemma!,"Huvudrätt, Lunch, Middag, Varmrätt",Gösfilé eller sejfilé: 500 g | Torrt vitt vin: 1 dl | Arla Köket® Smör-&rapsolja oliv: 4 msk | Ströbröd: ½ dl | Hackad färsk persilja: ½ dl | Salt: ½ tsk | Pressade vitlöksklyftor: 2,"Sätt ugnen på 225° eller 200° varmluft., Lägg fisken i en ugnssäker form. Häll över vinet., Blanda smör-&rapsolja, ströbröd, persilja, salt och vitlök. Bred det över fisken., Tillaga i mitten av ugnen 20-25 min.",35 min,4,430 kcal,33 g,36 g,15 g
Spread med avokado och ädelost,https://images.arla.com/recordid/E025CAF1-AC91-4CAB-AC4F6FE600CF16FF/avokadospread-med-adelost.jpg?width=375&height=265&mode=crop&format=jpg,"Härlig spread till bröd, gott till baguett eller annat favoritbröd. Perfekt till picknick, mellanmål eller som lättare lunch.","Brunch, Kvällsmat, Lunch, Mellanmål",Avokados: 2 | Kvibille® Ädel: 140 g | Citronsaft: 1 tsk | Arla Ko® Gräddfil: 1 dl,"Dela, kärna ur och mosa avokadon. Mosa ädelosten., Rör avokado, citronsaft, ädelost och gräddfil till en tjock kräm., Servera med baguette och grönsaker.",20 min,4,265 kcal,9 g,4 g,23 g
Tarte på filodeg med spenat och kyckling,"https://images.arla.com/recordid/7E37129D-9C3E-424F-97BDF8CE81B238D9/tarte-pa-filodeg-med-spenat-och-kyckling.jpg?width=375&height=265&mode=crop&crop=(349,0,-43,0)&format=jpg","En krispig och smakrik paj fylld med vitlöksstekt kyckling, zucchini, spenat och lagrad ost. Filodegstarte är enkelt att laga och otroligt festligt att bjuda på! Servera gärna denna filodegstarte med en grönsallad.","Brunch, Buffé, Huvudrätt","Svenskt Smör från Arla®: 100 g | Filodeg: 5 ark | Strimlat kycklingbröst: 250 g | Svenskt Smör från Arla®, till stekning:  | Vitlöksklyftor: 2 | Salt och svartpeppar:  | Spenat: 500 g | Zucchini: ½ | Purjolök: ½ | Chili flakes: 1 tsk | Flingsalt: 1 tsk | Finhackad färsk timjan: ½ kruka | Arla Köket® Crème fraiche, eller vispgrädde: 2 dl | Kvibille® Riven ost cheddar: 150 g | Ägg: 4","Värm ugnen till 175°., Börja med fyllningen. Stek kycklingen i smör med  pressad vitlök tills kycklingen fått fin färg. Salta och peppra., Koka spenaten hastigt i lättsaltat vatten. Låt rinna av i durkslag., Tärna zucchini och strimla purjolöken. Stek zucchini i smör 4 min. Tillsätt purjolök och fräs ytterligare 4 min., Ta från värmen och rör ner spenat, kyckling, kryddor, crème fraiche, ost och ägg. Smaka av med salt och peppar., Smält smöret. Pensla en pajform, ca 30 cm i diameter, med lite smör., Lägg ett filoark på en bänkskiva, Pensla det försiktigt med smält smör, lägg ytterligare ett ark filo ovanpå den första, lätt roterade, pensla med smör igen. Upprepa processen så att de 5 bakverken bildar en femkantig stjärna., Lägg över filodegen i pajformen. Lägg fyllningen i filodegen. Vik filodegens sidor runt kanten. Pensla kanterna med smör., Grädda pajen i nedre delen av ugnen ca 20 min.",1 tim,4,510 kcal,17 g,33 g,33 g
Fläskkarré med ingefära,"https://images.arla.com/recordid/AC3F4959-1C4E-4EB9-81CA5D11D849C983/flaskkarre-med-ingefara.jpg?width=375&height=265&mode=crop&crop=(0,0,-278,0)&format=jpg","Fläskkarré med asiatiska smaker av ingefära och soja. Karré, vitkål, lök, paprika och sockerärtor i pannan blir jättegott!","Huvudrätt, Lunch, Middag",Fläskkarré: 300 g | Paprikor: 2 | Lökar: 2 | Vitkål: 300 g | Sockerärter: 100 g | Svenskt Smör från Arla®:  | Salt: 1 tsk | Kelda® Mellangrädde: 2½ dl | Kinesisk soja: 1 msk | Riven färsk ingefära: 1 tsk,"Skär köttet i tunna strimlor. Kärna ur paprikorna. Skala lökarna. Strimla lök, paprika, vitkål och sockerärter., Salta och bryn köttet i smör i en stekpanna 2-3 min. Ta upp det och stek grönsakerna under omrörning., Lägg tillbaka köttet och tillsätt grädde, soja och ingefära. Ge pannan ett snabbt uppkok och servera.",25 min,4,,,,
